T,I_1,I_2,I_3
24.1452,-0.0723943318711741,1.66010551059347,0.95389174023615
24.147,-0.0726357259177643,1.66041831574798,0.953908829697025
24.1488,-0.0728755592287643,1.6607306015067,0.95392589151768
24.1506,-0.073113830317437,1.661042366673,0.95394292574195
24.1524,-0.073350537724131,1.66135361005562,0.953959932413611
24.1542,-0.0735856800162801,1.66166433046865,0.953976911576387
24.156,-0.0738192557884032,1.6619745267315,0.953993863273943
24.1578,-0.0740512636621041,1.66228419766896,0.95401078754989
24.1596,-0.0742817022860724,1.66259334211117,0.95402768444778
24.1614,-0.0745105703360824,1.6629019588936,0.954044554011112
24.1632,-0.0747378665149938,1.66321004685709,0.954061396283327
24.165,-0.0749635895527514,1.66351760484782,0.954078211307811
24.1668,-0.0751877382063855,1.66382463171731,0.954094999127893
24.1686,-0.0754103112600112,1.66413112632244,0.954111759786847
24.1704,-0.075631307524829,1.66443708752546,0.954128493327891
24.1722,-0.0758507258391245,1.66474251419393,0.954145199794184
24.174,-0.0760685650682687,1.66504740520079,0.954161879228833
24.1758,-0.0762848241047177,1.66535175942432,0.954178531674887
24.1776,-0.0764995018680126,1.66565557574815,0.954195157175339
24.1794,-0.07671259730478,1.66595885306125,0.954211755773125
24.1812,-0.0769241093887316,1.66626159025796,0.954228327511127
24.183,-0.0771340371206641,1.66656378623796,0.954244872432169
24.1848,-0.0773423795284597,1.66686543990627,0.954261390579019
24.1866,-0.0775491356670857,1.66716655017328,0.954277881994392
24.1884,-0.0777543046185945,1.66746711595472,0.954294346720943
24.1902,-0.0779578854921237,1.66776713617166,0.954310784801272
24.192,-0.0781598774238963,1.66806660975053,0.954327196277924
24.1938,-0.0783602795772204,1.66836553562311,0.954343581193388
24.1956,-0.0785590911424891,1.66866391272654,0.954359939590095
24.1974,-0.0787563113371809,1.66896174000329,0.954376271510422
24.1992,-0.0789519394058596,1.66925901640118,0.954392576996689
24.201,-0.079145974620174,1.6695557408734,0.95440885609116
24.2028,-0.0793384162788581,1.66985191237848,0.954425108836042
24.2046,-0.0795292637077311,1.67014752988029,0.954441335273488
24.2064,-0.0797185162596977,1.67044259234806,0.954457535445594
24.2082,-0.0799061733147475,1.67073709875638,0.954473709394399
24.21,-0.0800922342799551,1.67103104808516,0.954489857161886
24.2118,-0.0802766985894809,1.67132443931969,0.954505978789983
24.2136,-0.08045956570457,1.67161727145059,0.954522074320563
24.2154,-0.0806408351135528,1.67190954347384,0.954538143795439
24.2172,-0.0808205063318451,1.67220125439077,0.954554187256372
24.219,-0.0809985789019477,1.67249240320806,0.954570204745064
24.2208,-0.0811750523934467,1.67278298893773,0.954586196303163
24.2226,-0.0813499264030132,1.67307301059716,0.95460216197226
24.2244,-0.0815232005544038,1.67336246720908,0.95461810179389
24.2262,-0.0816948744984602,1.67365135780156,0.954634015809531
24.228,-0.0818649479131092,1.67393968140804,0.954649904060607
24.2298,-0.0820334205033627,1.67422743706728,0.954665766588485
24.2316,-0.0822002920013183,1.67451462382342,0.954681603434474
24.2334,-0.0823655621661582,1.67480124072593,0.95469741463983
24.2352,-0.0825292307841501,1.67508728682964,0.954713200245751
24.237,-0.0826912976686467,1.67537276119472,0.95472896029338
24.2388,-0.0828517626600864,1.6756576628867,0.954744694823802
24.2406,-0.0830106256259923,1.67594199097646,0.954760403878049
24.2424,-0.0831678864609727,1.67622574454023,0.954776087497094
24.2442,-0.0833235450867215,1.67650892265957,0.954791745721856
24.246,-0.0834776014520174,1.67679152442141,0.954807378593196
24.2478,-0.0836300555327245,1.67707354891804,0.954822986151921
24.2496,-0.0837809073317919,1.67735499524707,0.95483856843878
24.2514,-0.0839301568792543,1.67763586251148,0.954854125494468
24.2532,-0.0840778042322313,1.6779161498196,0.954869657359621
24.255,-0.0842238494749276,1.6781958562851,0.954885164074823
24.2568,-0.0843682927186333,1.67847498102701,0.954900645680597
24.2586,-0.0845111341017238,1.6787535231697,0.954916102217415
24.2604,-0.0846523737896593,1.6790314818429,0.954931533725688
24.2622,-0.0847920119749856,1.67930885618167,0.954946940245775
24.264,-0.0849300488773336,1.67958564532646,0.954962321817977
24.2658,-0.0850664847434193,1.67986184842302,0.954977678482539
24.2676,-0.0852013198470438,1.68013746462249,0.95499301027965
24.2694,-0.0853345544890937,1.68041249308134,0.955008317249443
24.2712,-0.0854661889975406,1.68068693296139,0.955023599431996
24.273,-0.0855962237274414,1.68096078342982,0.955038856867328
24.2748,-0.0857246590609381,1.68123404365915,0.955054089595405
24.2766,-0.0858514954072579,1.68150671282726,0.955069297656136
24.2784,-0.0859767332027133,1.68177879011736,0.955084481089373
24.2802,-0.0861003729107019,1.68205027471805,0.955099639934912
24.282,-0.0862224150217066,1.68232116582322,0.955114774232495
24.2838,-0.0863428600532954,1.68259146263217,0.955129884021805
24.2856,-0.0864617085501215,1.68286116434951,0.955144969342472
24.2874,-0.0865789610839235,1.68313027018522,0.955160030234066
24.2892,-0.0866946182535248,1.68339877935462,0.955175066736105
24.291,-0.0868086806848345,1.68366669107838,0.955190078888049
24.2928,-0.0869211490308464,1.68393400458253,0.955205066729301
24.2946,-0.0870320239716398,1.68420071909843,0.955220030299209
24.2964,-0.0871413062143793,1.68446683386282,0.955234969637066
24.2982,-0.0872489964933144,1.68473234811776,0.955249884782107
24.3,-0.08735509556978,1.68499726111068,0.955264775773512
24.3018,-0.087459604232196,1.68526157209435,0.955279642650404
24.3036,-0.0875625232960677,1.68552528032689,0.955294485451851
24.3054,-0.0876638536039857,1.68578838507177,0.955309304216865
24.3072,-0.0877635960256254,1.68605088559782,0.9553240989844
24.309,-0.0878617514577477,1.6863127811792,0.955338869793357
24.3108,-0.0879583208241988,1.68657407109545,0.955353616682578
24.3126,-0.0880533050759097,1.68683475463142,0.955368339690851
24.3144,-0.0881467051908969,1.68709483107735,0.955383038856906
24.3162,-0.0882385221742621,1.6873542997288,0.955397714219419
24.318,-0.0883287570581922,1.6876131598867,0.955412365817008
24.3198,-0.088417410901959,1.68787141085732,0.955426993688237
24.3216,-0.0885044847919199,1.68812905195227,0.955441597871613
24.3234,-0.0885899798415173,1.68838608248853,0.955456178405585
24.3252,-0.0886738971912788,1.68864250178842,0.955470735328548
24.327,-0.0887562380088172,1.68889830917961,0.955485268678842
24.3288,-0.0888370034888307,1.68915350399513,0.955499778494748
24.3306,-0.0889161948531023,1.68940808557333,0.955514264814493
24.3324,-0.0889938133505006,1.68966205325795,0.955528727676247
24.3342,-0.089069860256979,1.68991540639805,0.955543167118125
24.336,-0.0891443368755767,1.69016814434806,0.955557583178184
24.3378,-0.0892172445364174,1.69042026646774,0.955571975894427
24.3396,-0.0892885845967104,1.69067177212221,0.955586345304799
24.3414,-0.0893583584407502,1.69092266068195,0.955600691447191
24.3432,-0.0894265674799164,1.69117293152276,0.955615014359436
24.345,-0.0894932131526738,1.69142258402584,0.955629314079313
24.3468,-0.0895582969245724,1.69167161757768,0.955643590644542
24.3486,-0.0896218202882475,1.69192003157017,0.955657844092789
24.3504,-0.0896837847634195,1.69216782540052,0.955672074461664
24.3522,-0.0897441918968939,1.6924149984713,0.955686281788721
24.354,-0.0898030432625617,1.69266155019043,0.955700466111456
24.3558,-0.0898603404613988,1.69290747997118,0.955714627467312
24.3576,-0.0899160851214665,1.69315278723217,0.955728765893672
24.3594,-0.0899702788979112,1.69339747139736,0.955742881427867
24.3612,-0.0900229234729645,1.69364153189608,0.955756974107169
24.363,-0.0900740205559432,1.693884968163,0.955771043968795
24.3648,-0.0901235718832493,1.69412777963813,0.955785091049907
24.3666,-0.0901715792183701,1.69436996576684,0.955799115387609
24.3684,-0.0902180443518779,1.69461152599985,0.955813117018949
24.3702,-0.0902629691014305,1.69485245979323,0.955827095980921
24.372,-0.0903063553117705,1.69509276660839,0.955841052310461
24.3738,-0.0903482048547261,1.69533244591211,0.955854986044449
24.3756,-0.0903885196292104,1.6955714971765,0.955868897219711
24.3774,-0.0904273015612219,1.69580991987903,0.955882785873013
24.3792,-0.0904645526038441,1.69604771350252,0.955896652041069
24.381,-0.0905002747372459,1.69628487753513,0.955910495760535
24.3828,-0.0905344699686813,1.69652141147039,0.955924317068011
24.3846,-0.0905671403324896,1.69675731480715,0.955938116000041
24.3864,-0.090598287890095,1.69699258704964,0.955951892593112
24.3882,-0.0906279147300073,1.69722722770743,0.955965646883657
24.39,-0.0906560229678212,1.69746123629543,0.955979378908052
24.3918,-0.0906826147462167,1.6976946123339,0.955993088702616
24.3936,-0.0907076922349591,1.69792735534848,0.956006776303613
24.3954,-0.0907312576308988,1.69815946487011,0.95602044174725
24.3972,-0.0907533131579714,1.69839094043512,0.95603408506968
24.399,-0.0907738610671977,1.69862178158517,0.956047706306996
24.4008,-0.0907929036366836,1.69885198786729,0.956061305495239
24.4026,-0.0908104431716205,1.69908155883383,0.956074882670393
24.4044,-0.0908264820042847,1.69931049404252,0.956088437868383
24.4062,-0.0908410224940377,1.69953879305641,0.956101971125081
24.408,-0.0908540670273266,1.69976645544393,0.956115482476303
24.4098,-0.0908656180176831,1.69999348077884,0.956128971957807
24.4116,-0.0908756779057246,1.70021986864026,0.956142439605296
24.4134,-0.0908842491591534,1.70044561861265,0.956155885454416
24.4152,-0.0908913342727572,1.70067073028583,0.95616930954076
24.417,-0.0908969357684087,1.70089520325496,0.95618271189986
24.4188,-0.090901056195066,1.70111903712056,0.956196092567196
24.4206,-0.0909036981287722,1.70134223148849,0.95620945157819
24.4224,-0.0909048641726558,1.70156478596997,0.956222788968208
24.4242,-0.0909045569569303,1.70178670018156,0.956236104772562
24.426,-0.0909027791388946,1.70200797374519,0.956249399026505
24.4278,-0.0908995334029327,1.7022286062881,0.956262671765234
24.4296,-0.0908948224605137,1.70244859744292,0.956275923023893
24.4314,-0.0908886490501921,1.70266794684762,0.956289152837568
24.4332,-0.0908810159376074,1.7028866541455,0.956302361241288
24.435,-0.0908719259154845,1.70310471898523,0.956315548270026
24.4368,-0.0908613818036333,1.70332214102083,0.956328713958702
24.4386,-0.0908493864489491,1.70353891991165,0.956341858342176
24.4404,-0.0908359427254122,1.70375505532242,0.956354981455255
24.4422,-0.0908210535340883,1.70397054692319,0.956368083332687
24.444,-0.0908047218031281,1.70418539438939,0.956381164009166
24.4458,-0.0907869504877676,1.70439959740177,0.95639422351933
24.4476,-0.0907677425703281,1.70461315564644,0.956407261897759
24.4494,-0.0907471010602159,1.70482606881488,0.95642027917898
24.4512,-0.0907250289939226,1.70503833660389,0.956433275397461
24.453,-0.090701529435025,1.70524995871564,0.956446250587615
24.4548,-0.0906766054741852,1.70546093485764,0.956459204783799
24.4566,-0.0906502602291502,1.70567126474275,0.956472138020314
24.4584,-0.0906224968447525,1.70588094808918,0.956485050331406
24.4602,-0.0905933184929097,1.70608998462051,0.956497941751262
24.462,-0.0905627283726246,1.70629837406564,0.956510812314015
24.4638,-0.0905307297099851,1.70650611615883,0.956523662053743
24.4656,-0.0904973257581644,1.7067132106397,0.956536491004465
24.4674,-0.090462519797421,1.7069196572532,0.956549299200146
24.4692,-0.0904263151350985,1.70712545574966,0.956562086674694
24.471,-0.0903887151056255,1.70733060588473,0.956574853461962
24.4728,-0.0903497230705162,1.70753510741942,0.956587599595745
24.4746,-0.0903093424183696,1.7077389601201,0.956600325109785
24.4764,-0.0902675765648703,1.70794216375848,0.956613030037764
24.4782,-0.0902244289527876,1.70814471811162,0.956625714413312
24.48,-0.0901799030519766,1.70834662296193,0.956638378269999
24.4818,-0.090134002359377,1.70854787809718,0.956651021641342
24.4836,-0.0900867303990142,1.70874848331046,0.9566636445608
24.4854,-0.0900380907219985,1.70894843840026,0.956676247061777
24.4872,-0.0899880869065255,1.70914774317037,0.956688829177621
24.489,-0.0899367212186474,1.70934639732761,0.956701390941676
24.4908,-0.0898839803221972,1.70954439938865,0.956713932387575
24.4926,-0.0898298625703306,1.70974174876429,0.956726453547851
24.4944,-0.0897743714175512,1.70993844525815,0.956738954454727
24.4962,-0.0897175103271475,1.71013448867781,0.956751435140381
24.498,-0.0896592827711926,1.71032987883478,0.956763895636951
24.4998,-0.0895996922305445,1.71052461554452,0.956776335976535
24.5016,-0.0895387421948461,1.71071869862646,0.956788756191186
24.5034,-0.0894764361625249,1.71091212790393,0.956801156312917
24.5052,-0.0894127776407934,1.71110490320425,0.9568135363737
24.507,-0.0893477701456487,1.71129702435866,0.956825896405464
24.5088,-0.0892814172018728,1.71148849120234,0.956838236440098
24.5106,-0.0892137223430324,1.71167930357443,0.956850556509447
24.5124,-0.0891446891114791,1.71186946131802,0.956862856645316
24.5142,-0.0890743210583494,1.71205896428013,0.956875136879467
24.516,-0.0890026217435643,1.71224781231173,0.956887397243623
24.5178,-0.0889295947358297,1.71243600526774,0.956899637769462
24.5196,-0.0888552436126365,1.71262354300703,0.956911858488622
24.5214,-0.0887795719602602,1.71281042539239,0.956924059432699
24.5232,-0.088702583373761,1.71299665229058,0.956936240633248
24.525,-0.0886242814569841,1.71318222357231,0.956948402121781
24.5268,-0.0885446698225595,1.7133671391122,0.95696054392977
24.5286,-0.0884637520919018,1.71355139878887,0.956972666088643
24.5304,-0.0883815318952105,1.71373500248483,0.956984768629789
24.5322,-0.0882980128714699,1.71391795008656,0.956996851584553
24.534,-0.0882131986684491,1.7141002414845,0.957008914984241
24.5358,-0.0881270929427021,1.71428187657301,0.957020958860113
24.5376,-0.0880396993595674,1.71446285525041,0.957032983243392
24.5394,-0.0879510215931685,1.71464317741896,0.957044988165257
24.5412,-0.0878610633264138,1.71482284298487,0.957056973656844
24.543,-0.0877698282509962,1.71500185185828,0.957068939749251
24.5448,-0.0876773200673936,1.71518020395329,0.957080886473531
24.5466,-0.0875835424848687,1.71535789918795,0.957092813860696
24.5484,-0.087488499221469,1.71553493748425,0.957104721941719
24.5502,-0.0873921940040265,1.71571131876811,0.957116610747527
24.552,-0.0872946305681584,1.71588704296941,0.957128480309008
24.5538,-0.0871958126582665,1.71606211002199,0.957140330657008
24.5556,-0.0870957440275374,1.7162365198636,0.957152161822332
24.5574,-0.0869944284379425,1.71641027243596,0.95716397383574
