T,I_1,I_2,I_3,I_4,I_5,I_6,I_7,I_8,I_9,I_10
0.4806,0,0,0,0.410668911464009,0,0,0,0,0,0
0.4824,0,0,0,0.413428291903985,0,0,0,0,0,0
0.4842,0,0,0,0.416194332042421,0,0,0,0,0,0
0.486,0,0,0,0.418967002133064,0,0,0,0,0,0
0.4878,0,0,0,0.421746271428226,0,0,0,0,0,0
0.4896,0,0,0,0.424532109214178,0,0,0,0,0,0
0.4914,0,0,0,0.427324484811151,0,0,0,0,0,0
0.4932,0,0,0,0.430123367573335,0,0,0,0,0,0
0.495,0,0,0,0.432928726888881,0,0,0,0,0,0
0.4968,0,0,0,0.435740532179898,0,0,0,0,0,0
0.4986,0,0,0,0.438558752902456,0,0,0,0,0,0
0.5004,0,0,0,0.441383358546584,0,0,0,0,0,0
0.5022,0,0,0,0.444214318636271,0,0,0,0,0,0
0.504,0,0,0,0.447051602729465,0,0,0,0,0,0
0.5058,0,0,0,0.449895180418075,0,0,0,0,0,0
0.5076,0,0,0,0.452745021327967,0,0,0,0,0,0
0.5094,0,0,0,0.45560109511897,0,0,0,0,0,0
0.5112,0,0,0,0.45846337148487,0,0,0,0,0,0
0.513,0,0,0,0.461331820153414,0,0,0,0,0,0
0.5148,0,0,0,0.464206410886308,0,0,0,0,0,0
0.5166,0,0,0,0.467087113479218,0,0,0,0,0,0
0.5184,0,0,0,0.46997389776177,0,0,0,0,0,0
0.5202,0,0,0,0.472866733597549,0,0,0,0,0,0
0.522,0,0,0,0.4757655908841,0,0,0,0,0,0
0.5238,0,0,0,0.478670439552927,0,0,0,0,0,0
0.5256,0,0,0,0.481581249569494,0,0,0,0,0,0
0.5274,0,0,0,0.484497990933226,0,0,0,0,0,0
0.5292,0,0,0,0.487420633677506,0,0,0,0,0,0
0.531,0,0,0,0.490349147869677,0,0,0,0,0,0
0.5328,0,0,0,0.493283503611041,0,0,0,0,0,0
0.5346,0,0,0,0.496223671036861,0,0,0,0,0,0
0.5364,0,0,0,0.499169620316359,0,0,0,0,0,0
0.5382,0,0,0,0.502121321652717,0,0,0,0,0,0
0.54,0,0,0,0.505078745283077,0,0,0,0,0,0
0.5418,0,0,0,0.508041861478538,0,0,0,0,0,0
0.5436,0,0,0,0.511010640544162,0,0,0,0,0,0
0.5454,0,0,0,0.513985052818969,0,0,0,0,0,0
0.5472,0,0,0,0.516965068675938,0,0,0,0,0,0
0.549,0,0,0,0.51995065852201,0,0,0,0,0,0
0.5508,0,0,0,0.522941792798084,0,0,0,0,0,0
0.5526,0,0,0,0.525938441979019,0,0,0,0,0,0
0.5544,0,0,0,0.528940576573632,0,0,0,0,0,0
0.5562,0,0,0,0.531948167124703,0,0,0,0,0,0
0.558,0,0,0,0.534961184208968,0,0,0,0,0,0
0.5598,0,0,0,0.537979598437126,0,0,0,0,0,0
0.5616,0,0,0,0.541003380453834,0,0,0,0,0,0
0.5634,0,0,0,0.544032500937708,0,0,0,0,0,0
0.5652,0,0,0,0.547066930601324,0,0,0,0,0,0
0.567,0,0,0,0.550106640191219,0,0,0,0,0,0
0.5688,0,0,0,0.553151600487888,0,0,0,0,0,0
0.5706,0,0,0,0.556201782305787,0,0,0,0,0,0
0.5724,0,0,0,0.559257156493331,0,0,0,0,0,0
0.5742,0,0,0,0.562317693932893,0,0,0,0,0,0
0.576,0,0,0,0.565383365540809,0,0,0,0,0,0
0.5778,0,0,0,0.568454142267373,0,0,0,0,0,0
0.5796,0,0,0,0.571529995096838,0,0,0,0,0,0
0.5814,0,0,0,0.574610895047416,0,0,0,0,0,0
0.5832,0,0,0,0.577696813171282,0,0,0,0,0,0
0.585,0,0,0,0.580787720554567,0,0,0,0,0,0
0.5868,0,0,0,0.583883588317364,0,0,0,0,0,0
0.5886,0,0,0,0.586984387613724,0,0,0,0,0,0
0.5904,0,0,0,0.590090089631658,0,0,0,0,0,0
0.5922,0,0,0,0.593200665593139,0,0,0,0,0,0
0.594,0,0,0,0.596316086754096,0,0,0,0,0,0
0.5958,0,0,0,0.599436324404421,0,0,0,0,0,0
0.5976,0,0,0,0.602561349867962,0,0,0,0,0,0
